benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
jolden	16	16	16	UseParallelGC	0.01
jolden	16	16	32	UseParallelGC	0.01
jolden	16	16	48	UseParallelGC	0.01
jolden	16	16	64	UseParallelGC	0.01
jolden	16	16	96	UseParallelGC	0.01
jolden	16	16	128	UseParallelGC	0.01
jolden	16	16	160	UseParallelGC	0.01
jolden	16	16	192	UseParallelGC	0.01
jolden	16	16	224	UseParallelGC	0.01
jolden	16	16	256	UseParallelGC	0.01
jolden	16	16	512	UseParallelGC	0.02
jolden	32	16	16	UseParallelGC	0.02
jolden	32	16	32	UseParallelGC	0.01
jolden	32	16	48	UseParallelGC	0.01
jolden	32	16	64	UseParallelGC	0.01
jolden	32	16	96	UseParallelGC	0.01
jolden	32	16	128	UseParallelGC	0.01
jolden	32	16	160	UseParallelGC	0.01
jolden	32	16	192	UseParallelGC	0.01
jolden	32	16	224	UseParallelGC	0.01
jolden	32	16	256	UseParallelGC	0.01
jolden	32	16	512	UseParallelGC	0.01
jolden	32	32	16	UseParallelGC	0.01
jolden	32	32	32	UseParallelGC	0.02
jolden	32	32	48	UseParallelGC	0.01
jolden	32	32	64	UseParallelGC	0.02
jolden	32	32	96	UseParallelGC	0.01
jolden	32	32	128	UseParallelGC	0.01
jolden	32	32	160	UseParallelGC	0.02
jolden	32	32	192	UseParallelGC	0.02
jolden	32	32	224	UseParallelGC	0.01
jolden	32	32	256	UseParallelGC	0.01
jolden	32	32	512	UseParallelGC	0.01
jolden	48	16	16	UseParallelGC	0.02
jolden	48	16	32	UseParallelGC	0.01
jolden	48	16	48	UseParallelGC	0.01
jolden	48	16	64	UseParallelGC	0.02
jolden	48	16	96	UseParallelGC	0.02
jolden	48	16	128	UseParallelGC	0.01
jolden	48	16	160	UseParallelGC	0.01
jolden	48	16	192	UseParallelGC	0.01
jolden	48	16	224	UseParallelGC	0.01
jolden	48	16	256	UseParallelGC	0.01
jolden	48	16	512	UseParallelGC	0.02
jolden	48	32	16	UseParallelGC	0.02
jolden	48	32	32	UseParallelGC	0.02
jolden	48	32	48	UseParallelGC	0.02
jolden	48	32	64	UseParallelGC	0.01
jolden	48	32	96	UseParallelGC	0.01
jolden	48	32	128	UseParallelGC	0.02
jolden	48	32	160	UseParallelGC	0.02
jolden	48	32	192	UseParallelGC	0.01
jolden	48	32	224	UseParallelGC	0.02
jolden	48	32	256	UseParallelGC	0.01
jolden	48	32	512	UseParallelGC	0.02
jolden	48	48	16	UseParallelGC	0.02
jolden	48	48	32	UseParallelGC	0.02
jolden	48	48	48	UseParallelGC	0.02
jolden	48	48	64	UseParallelGC	0.02
jolden	48	48	96	UseParallelGC	0.02
jolden	48	48	128	UseParallelGC	0.02
jolden	48	48	160	UseParallelGC	0.02
jolden	48	48	192	UseParallelGC	0.02
jolden	48	48	224	UseParallelGC	0.02
jolden	48	48	256	UseParallelGC	0.02
jolden	48	48	512	UseParallelGC	0.02
jolden	64	16	16	UseParallelGC	0.03
jolden	64	16	32	UseParallelGC	0.02
jolden	64	16	48	UseParallelGC	0.01
jolden	64	16	64	UseParallelGC	0.01
jolden	64	16	96	UseParallelGC	0.01
jolden	64	16	128	UseParallelGC	0.01
jolden	64	16	160	UseParallelGC	0.01
jolden	64	16	192	UseParallelGC	0.01
jolden	64	16	224	UseParallelGC	0.01
jolden	64	16	256	UseParallelGC	0.02
jolden	64	16	512	UseParallelGC	0.02
jolden	64	32	16	UseParallelGC	0.02
jolden	64	32	32	UseParallelGC	0.02
jolden	64	32	48	UseParallelGC	0.02
jolden	64	32	64	UseParallelGC	0.02
jolden	64	32	96	UseParallelGC	0.02
jolden	64	32	128	UseParallelGC	0.02
jolden	64	32	160	UseParallelGC	0.01
jolden	64	32	192	UseParallelGC	0.01
jolden	64	32	224	UseParallelGC	0.02
jolden	64	32	256	UseParallelGC	0.01
jolden	64	32	512	UseParallelGC	0.02
jolden	64	48	16	UseParallelGC	0.03
jolden	64	48	32	UseParallelGC	0.01
jolden	64	48	48	UseParallelGC	0.02
jolden	64	48	64	UseParallelGC	0.02
jolden	64	48	96	UseParallelGC	0.02
jolden	64	48	128	UseParallelGC	0.02
jolden	64	48	160	UseParallelGC	0.02
jolden	64	48	192	UseParallelGC	0.02
jolden	64	48	224	UseParallelGC	0.02
jolden	64	48	256	UseParallelGC	0.02
jolden	64	48	512	UseParallelGC	0.01
jolden	64	64	16	UseParallelGC	0.03
jolden	64	64	32	UseParallelGC	0.13
jolden	64	64	48	UseParallelGC	0.02
jolden	64	64	64	UseParallelGC	0.02
jolden	64	64	96	UseParallelGC	0.02
jolden	64	64	128	UseParallelGC	0.02
jolden	64	64	160	UseParallelGC	0.02
jolden	64	64	192	UseParallelGC	0.02
jolden	64	64	224	UseParallelGC	0.02
jolden	64	64	256	UseParallelGC	0.02
jolden	64	64	512	UseParallelGC	0.02
jolden	96	16	16	UseParallelGC	0.04
jolden	96	16	32	UseParallelGC	0.03
jolden	96	16	48	UseParallelGC	0.03
jolden	96	16	64	UseParallelGC	0.02
jolden	96	16	96	UseParallelGC	0.01
jolden	96	16	128	UseParallelGC	0.02
jolden	96	16	160	UseParallelGC	0.01
jolden	96	16	192	UseParallelGC	0.01
jolden	96	16	224	UseParallelGC	0.01
jolden	96	16	256	UseParallelGC	0.01
jolden	96	16	512	UseParallelGC	0.02
jolden	96	32	16	UseParallelGC	0.04
jolden	96	32	32	UseParallelGC	0.04
jolden	96	32	48	UseParallelGC	0.02
jolden	96	32	64	UseParallelGC	0.01
jolden	96	32	96	UseParallelGC	0.02
jolden	96	32	128	UseParallelGC	0.01
